	JG-27250_S1.rsem.genes.results	JG-27251_S2.rsem.genes.results	JG-27255_S6.rsem.genes.results	JG-27256_S7.rsem.genes.results	JG-27260_S11.rsem.genes.results	JG-27261_S12.rsem.genes.results
ENSG00000101342_TLDC2	5.08	9.15	3.06	1.02	0	12.19
ENSG00000101343_CRNKL1	917	904	778	831	612	1006
ENSG00000101346_POFUT1	3348	3139	3935	3432	2817	3844
ENSG00000101347_SAMHD1	1087.92	1571.85	852.94	933.98	495	1363.81
ENSG00000101349_PAK7	0	0	0	0	0	0
ENSG00000101350_KIF3B	1441	1552	1488	1855	1089	1832
ENSG00000101353_MROH8	3	6	6	5	5	8
ENSG00000101361_NOP56	9844	12964	12424	11706	9027	15857
ENSG00000101363_MANBAL	1368	1607	1071	1370	1188	1970
ENSG00000101365_IDH3B	1486	2051	1410	1649	1067	2164
ENSG00000101367_MAPRE1	3287	3106	2968	2513	1962	3338
ENSG00000101384_JAG1	3319	3289	1810	2299	2763	3674
ENSG00000101391_CDK5RAP1	837	996	890	819	560	1119
ENSG00000101400_SNTA1	114	130	138	98	94	138
ENSG00000101405_OXT	0	0	0	0	0	0
ENSG00000101407_TTI1	1306	1132	1179	937	816	1215
ENSG00000101412_E2F1	919	690	1049	429	580	712
ENSG00000101413_RPRD1B	1017	971	1058	993	927	1343
ENSG00000101417_PXMP4	140.63	58.48	155.33	63.78	64.98	64.14
ENSG00000101421_CHMP4B	1649	2193	1634	2263	1457	2459
ENSG00000101425_BPI	0	0	0	0	0	0
ENSG00000101435_CST9L	0	0	0	0	0	0
ENSG00000101438_SLC32A1	0	0	0	0	0	0
ENSG00000101439_CST3	1569	1219	1410	1286	1274	1467
ENSG00000101440_ASIP	0	0	0	0	0	0
ENSG00000101441_CST4	0	0	0	0	0	0
ENSG00000101442_ACTR5	259	280	323	313	199	264
ENSG00000101443_WFDC2	0	0	1	0	0	0
ENSG00000101444_AHCY	5909	6900	5407	5902	5051	8045
ENSG00000101445_PPP1R16B	0	0	0	0	0	1
ENSG00000101446_SPINT3	0	0	0	0	0	0
ENSG00000101447_FAM83D	1032	682	857	350	454	524
ENSG00000101448_EPPIN	2	0	0	1	0	0.32
ENSG00000101452_DHX35	421	554	480	473.41	354.42	589
ENSG00000101457_DNTTIP1	511	682	497	641	505	825
ENSG00000101460_MAP1LC3A	42	17	62	24	51	30
ENSG00000101463_SYNDIG1	0	0	0	0	0	0
ENSG00000101464_PIGU	578	625	539	481	376	641
ENSG00000101470_TNNC2	0	0	2	1	0	0
ENSG00000101473_ACOT8	201.06	275.87	214.63	205.4	196.53	270.42
ENSG00000101474_APMAP	5563	4954	4764	3601	3260	4993
ENSG00000101489_CELF4	0	0	2	0	0	0
ENSG00000101493_ZNF516	359	465	445	523	375	507
ENSG00000101542_CDH20	0	0	2	1	0	0
ENSG00000101544_ADNP2	751	702	817	706	778	825
ENSG00000101546_RBFA	441.13	613.91	452.87	601.62	368.11	756.96
ENSG00000101557_USP14	2771	2781	2698	2492	1993	3207
ENSG00000101558_VAPA	3626	4024	3063	3392	2910	4627
ENSG00000101574_METTL4	474	444	371	357	359	424
ENSG00000101577_LPIN2	1620	1834	1456	1762	1439	2137
ENSG00000101596_SMCHD1	1882	1697	1906	1540	1509	1913
ENSG00000101605_MYOM1	9	10	13	19	6	6
ENSG00000101608_MYL12A	4347	4582	4030	4493	3459	5414
ENSG00000101624_CEP76	270	297	231.93	271	159	291
ENSG00000101638_ST8SIA5	0	2	1.26	1	1	2.02
ENSG00000101639_CEP192	1001	690	945	569	607	763
ENSG00000101654_RNMT	1427	1636	1625	2150	1567	2309
ENSG00000101665_SMAD7	227	278	156	250	242	367
ENSG00000101670_LIPG	97.82	246.06	82.16	191.34	81.73	276.75
ENSG00000101680_LAMA1	782.9	880.91	624.77	581.61	516.81	1086.41
ENSG00000101695_RNF125	38.03	44.63	24.4	32.96	32	41.59
ENSG00000101745_ANKRD12	507	574	514	581	425	604
ENSG00000101746_NOL4	0	0	0	0	0	0
ENSG00000101751_POLI	484.9	505.45	507	497.79	475.94	581.84
ENSG00000101752_MIB1	1048	1104	1153	1382	1003	1416
ENSG00000101773_RBBP8	2595	3739	2102	2862	2303	4752
ENSG00000101782_RIOK3	1550.01	2236	1486	2636	1849	3205
ENSG00000101811_CSTF2	827	726	668	550	508	705
ENSG00000101812_H2BFM	0	0	0	0	0	2
ENSG00000101825_MXRA5	0	0	0	0	0	0
ENSG00000101842_VSIG1	7.85	12.21	16.3	14.28	18.88	14.25
ENSG00000101843_PSMD10	549	582	509	536	348	578
ENSG00000101844_ATG4A	207	171	179	198	108	187
ENSG00000101846_STS	74	0	62	1	45	0
ENSG00000101849_TBL1X	2966	2513	2470	2233	2376	2521
ENSG00000101850_GPR143	15	33	21	8	6	14
ENSG00000101856_PGRMC1	1519	1367	1510	1171	1013	1591
ENSG00000101868_POLA1	1630	1354	1100	722	802	1295
ENSG00000101871_MID1	319	260	255	138	216	265
ENSG00000101882_NKAP	500.63	567.25	501.15	616.06	426.43	652.95
ENSG00000101883_RHOXF1	0	0	0	0	0	0
ENSG00000101888_NXT2	192	155	169	182	98	188
ENSG00000101890_GUCY2F	0	0	0	1	0	0
ENSG00000101892_ATP1B4	0	0	0	0	2	2
ENSG00000101898_MCTS2P	48.13	55.41	45.68	29.53	36.53	47.43
ENSG00000101901_ALG13	500	488	594	493	517	611
ENSG00000101911_PRPS2	898	643	729	401	490	695
ENSG00000101916_TLR8	0	0	0	0	0	0
ENSG00000101928_MOSPD1	161	158	170	242	164	243
ENSG00000101935_AMMECR1	1193	1004	1236	1319	1084	1201
ENSG00000101938_CHRDL1	0	0	2	0	0	0
ENSG00000101940_WDR13	825	1171	944	1097	1085	1368
ENSG00000101945_SUV39H1	559	511	538	341	321	531.49
ENSG00000101951_PAGE4	0	0	0	0	0	0
ENSG00000101955_SRPX	4204	2008	2723	1014	2077	1706
ENSG00000101958_GLRA2	0	0	0	0	0	0
ENSG00000101966_XIAP	857.42	932.52	849.93	948.38	856.88	1111.21
ENSG00000101972_STAG2	3476.18	3128	2941.15	2849	2721	3771.06
ENSG00000101974_ATP11C	1346	813	1221	670	1006	822
ENSG00000101977_MCF2	33	0	18	0	13	0
ENSG00000101981_F9	0	0	0	0	0	0
ENSG00000101986_ABCD1	152	167	186	139	99	154
ENSG00000101997_CCDC22	245	357	264	320	175	291
ENSG00000102001_CACNA1F	0	0	1	0	0	0
ENSG00000102003_SYP	16	13.13	14	12	7	17
ENSG00000102007_PLP2	4808	3807	4539	3679	3882	4699
ENSG00000102010_BMX	0	1	1	0	0	1
ENSG00000102021_LUZP4	0	0	0	0	0	0
ENSG00000102024_PLS3	3992	4208	3217	2768	2302	4501
ENSG00000102030_NAA10	2687	4030	2705	4021	2498	4700
ENSG00000102032_RENBP	0	0	0	1	0	0
ENSG00000102034_ELF4	1253	1703	1100	1660	1209	2144
ENSG00000102038_SMARCA1	115	62	99	37	61	53
ENSG00000102043_MTMR8	0	0	0	0	0	0
ENSG00000102048_ASB9	36	77	13	25	14	80
ENSG00000102053_ZC3H12B	12	10	16	8	7	6.01
ENSG00000102054_RBBP7	6692.99	6116.09	6080.85	5200.07	4672.54	6880.12
ENSG00000102055_PPP1R2P9	0	0	0	0	0	0
ENSG00000102057_KCND1	28	17	31	12	8	6
ENSG00000102076_OPN1LW	0	0	0	0	0	0
ENSG00000102078_SLC25A14	161	233	166	193	117	224
ENSG00000102081_FMR1	1108	806	879	589	781	856
ENSG00000102096_PIM2	312	280	261	177	159	285
ENSG00000102098_SCML2	385	346	381	376	312	435
ENSG00000102100_SLC35A2	562	707	530	819	506	1022
ENSG00000102103_PQBP1	1098	1526	1439	2162	1314	2071
ENSG00000102104_RS1	1	0	0	0	0	0
ENSG00000102109_PCSK1N	0	0	0	0	0	0
ENSG00000102119_EMD	1560	1915	1736	2062	1640	2631
ENSG00000102125_TAZ	692	746	756	809	603	887
ENSG00000102128_RAB40AL	3.13	1.05	0	1.32	0	0
ENSG00000102144_PGK1	15665	14171.97	11816	9672.05	8236	13275.02
ENSG00000102145_GATA1	0	0	0	0	0	0
ENSG00000102158_MAGT1	2173	1537	1964	1488	1255	1666
ENSG00000102172_SMS	4252	4072	2903	2033	2533	4123
ENSG00000102174_PHEX	30	90	37	97	19	69
ENSG00000102178_UBL4A	1530	1774	1384	1152	1201	1829
ENSG00000102181_CD99L2	921	552	821	376	557	686
ENSG00000102189_EEA1	1465	852	1355	1039	1331	1157
ENSG00000102195_GPR50	0	0	0	0	0	1
ENSG00000102218_RP2	512	388	454	422	327	473.03
ENSG00000102221_JADE3	969	683	812	529	791	788
ENSG00000102225_CDK16	3536	3013	3469	3005	2993	3459
ENSG00000102226_USP11	1277	1024	1122	807	1146	1199
ENSG00000102230_PCYT1B	3	0	0	0	0	2
ENSG00000102239_BRS3	0	0	1	0	0	0
ENSG00000102241_HTATSF1	2095	1996	2216	1817	1375	1994
ENSG00000102243_VGLL1	0	0	0	0	0	0
ENSG00000102245_CD40LG	0	0	0	0	0	0
ENSG00000102265_TIMP1	3024	2398	2759	2607	2358	2504
ENSG00000102271_KLHL4	17	2	14	1	18	2
ENSG00000102287_GABRE	1553	1209	2242	1367	949	1086
ENSG00000102290_PCDH11X	1	5.06	1.11	2.17	3.95	1.28
ENSG00000102302_FGD1	537	666	449	441	416	589
ENSG00000102309_PIN4	202	168	177	162	130	209
ENSG00000102312_PORCN	502	381	766	405	497	440
ENSG00000102313_ITIH6	1	1	0	1	0	1
ENSG00000102316_MAGED2	1349	1095	1115	997	834	1204
ENSG00000102317_RBM3	1990	1657	4182.02	2824	2329	2237
ENSG00000102349_KLF8	52	51	55.99	49.99	52	63
ENSG00000102359_SRPX2	183	173	119	118	128	150
ENSG00000102362_SYTL4	278	242	181	126	95	157
ENSG00000102383_ZDHHC15	1.04	0	1	0	0	0
ENSG00000102384_CENPI	440	188	367	119	180	168
ENSG00000102385_DRP2	9	9	8	7	4	1
ENSG00000102387_TAF7L	0	0	1	0	0	0
ENSG00000102390_PBDC1	708	737	610	726	587	928
ENSG00000102393_GLA	1042	949	950	653	546	936
ENSG00000102401_ARMCX3	957	761	1043	747	831	870
ENSG00000102409_BEX4	0	0	0	0	0	0
ENSG00000102445_KIAA0226L	0	0	0	0	1	0
ENSG00000102452_NALCN	1097.89	880.98	1248.95	870.92	799	1036.92
ENSG00000102466_FGF14	0	0	0	1.9	0	0
ENSG00000102468_HTR2A	0	0	0	0	1	0
ENSG00000102471_NDFIP2	334	353	300	290	253	329
ENSG00000102524_TNFSF13B	1	9	3	4	0	8
ENSG00000102531_FNDC3A	2251	2000	1904	1703	1803	2243
ENSG00000102539_MLNR	0	0	0	0	0	0
ENSG00000102543_CDADC1	176	149	136	161	130	150
ENSG00000102547_CAB39L	52	58	78	64	31	57
ENSG00000102554_KLF5	808	821	714	1183	1119	1424
ENSG00000102572_STK24	3419.2	5790.89	3653.32	6010.05	3703.2	7331.87
ENSG00000102575_ACP5	2	1	2	2	0	1
ENSG00000102580_DNAJC3	1193	1681	1340	1905	912	1935
ENSG00000102595_UGGT2	854.05	854.73	1010.98	859.06	759.98	1059.93
ENSG00000102606_ARHGEF7	897	1296	1077	1557	753	1468
ENSG00000102678_FGF9	0	1	0	0	0	0
ENSG00000102683_SGCG	0	0	2	1	1	0
ENSG00000102699_PARP4	3497.26	3283	2799	2540	2002.43	3048.26
ENSG00000102710_SUPT20H	1974.53	2354.57	1522.23	1912.82	1961.42	2772.44
ENSG00000102738_MRPS31	349	416	330	384	261	467
ENSG00000102743_SLC25A15	295	350	269	258	288	332
ENSG00000102753_KPNA3	2290	1724	2050	1556	1650	1938
ENSG00000102755_FLT1	1	1	1	0	0	0
ENSG00000102760_RGCC	0	2	0	1	0	2
ENSG00000102763_VWA8	897	889	858	753	786	1043
ENSG00000102780_DGKH	397.64	487	388.55	547.22	380	635
ENSG00000102781_KATNAL1	602	256	538	231	322	254
ENSG00000102786_INTS6	1916	2034.01	1225	1747	1555	2181
ENSG00000102794_IRG1	0	0	0	0	0	0
ENSG00000102796_DHRS12	15	22	19	24	22	21
ENSG00000102802_MEDAG	0	0	0	0	0	0
ENSG00000102804_TSC22D1	3516.9	4628.92	2572.9	4941	2701	5056.93
ENSG00000102805_CLN5	361.78	306.42	369.96	311.73	236.86	369.24
ENSG00000102837_OLFM4	0	1	1	0	0	0
ENSG00000102854_MSLN	5	16	4	17	4	23
ENSG00000102858_MGRN1	749	864	840	764	853	919
ENSG00000102870_ZNF629	531	640	581	599	407	730
ENSG00000102871_TRADD	155	185	136	166	133	210
ENSG00000102878_HSF4	348.01	359.08	406.92	327.48	238.8	299.53
ENSG00000102879_CORO1A	27	23	17	6	13	28
ENSG00000102882_MAPK3	287	244	240	108	167	209
ENSG00000102886_GDPD3	9	9	9	2	3	3
ENSG00000102890_ELMO3	66	90	97	63	54	59
ENSG00000102891_MT4	0	0	0	0	0	0
ENSG00000102893_PHKB	2265	2164	1930	1581	1576	2295
ENSG00000102897_LYRM1	967	1032	860	1000	1188	1341
ENSG00000102898_NUTF2	2821	2690	2385	2050	2209	2922
ENSG00000102900_NUP93	2835	3043	2455.26	2173	2022	3287
ENSG00000102901_CENPT	910	1095	1121	954.01	686	1091.19
ENSG00000102904_TSNAXIP1	20	39	20	23	9	27.81
ENSG00000102908_NFAT5	1096.72	1044.05	1044.21	1369.98	979.49	1202.22
ENSG00000102910_LONP2	2191.65	2005.1	2028.06	1951.55	1437.76	2132.34
ENSG00000102921_N4BP1	796	988	722	800	698	1034
ENSG00000102924_CBLN1	0	0	0	0	0	0
ENSG00000102931_ARL2BP	1675.36	1795.86	1704.21	1850.55	1414.93	2216.69
ENSG00000102934_PLLP	59.64	88.14	86.79	79.45	55.07	84.31
ENSG00000102935_ZNF423	2	0	2	0	3	0
ENSG00000102962_CCL22	0	3	0	5	0	0
ENSG00000102967_DHODH	526	697.07	581	712	546.02	948
ENSG00000102970_CCL17	0	0	0	0	0	0
ENSG00000102974_CTCF	1909	2156	1622	1992	1711	2478
ENSG00000102977_ACD	539	843	538	641	603	997
ENSG00000102978_POLR2C	1741	2042	1540	1635	1356	2247
ENSG00000102981_PARD6A	14	25	22	16	19	38
ENSG00000102984_ZNF821	39.41	45.62	21.37	32	34	47
ENSG00000102996_MMP15	222	141	170	93	61	87
ENSG00000103005_USB1	1623	2070	1606	1942	1482	2123
ENSG00000103018_CYB5B	2520	2623	2055	2095	1404	2646
ENSG00000103021_CCDC113	49	71	110	174	80	114
ENSG00000103023_PRSS54	0	0	0	0	0	0
ENSG00000103024_NME3	76	153	112	119	114	174
ENSG00000103034_NDRG4	30	19	15	18	21	26
ENSG00000103035_PSMD7	2757.7	3066.89	2635.33	2944.16	1974.9	3434.08
ENSG00000103037_SETD6	442.97	771.55	695.05	690.22	396.28	938.15
ENSG00000103042_SLC38A7	514	765	673	1095	454	864
ENSG00000103043_VAC14	797	1021	804	947	770	1198
ENSG00000103044_HAS3	104	188	80	71	38	116
ENSG00000103047_TANGO6	770	832	608	679	638	854
ENSG00000103051_COG4	1863	1951	1474	1383	1191	1857
ENSG00000103056_SMPD3	36.78	104.72	72	85.22	46.13	111.51
ENSG00000103061_SLC7A6OS	718.56	904.05	687.5	661.17	723.01	900.2
ENSG00000103064_SLC7A6	2486.33	2101.2	3094.49	2628.84	1990.69	2893.32
ENSG00000103066_PLA2G15	370	323	337	292	162	296
ENSG00000103067_ESRP2	11	12	12	10	18	6
ENSG00000103089_FA2H	1	10	0	9	0	9
ENSG00000103091_WDR59	1050	1399.01	1091	1461.69	782	1527
ENSG00000103111_MON1B	1042.19	1310.89	1132	1380.45	938	1531.78
ENSG00000103121_CMC2	795.2	867.01	706.9	654.07	598.01	992.95
ENSG00000103126_AXIN1	965	1600	1056	1500	1123	2146
ENSG00000103145_HCFC1R1	316.06	313.27	228.04	202.09	236.13	339.12
ENSG00000103148_NPRL3	1184.21	1575.98	1125.47	1179.07	1252.17	1642.12
ENSG00000103150_MLYCD	152.41	257.69	109.05	215.72	102.63	300.29
ENSG00000103152_MPG	364.2	634.6	537.25	647.93	419.2	699.17
ENSG00000103154_NECAB2	6	19	15	63	21	40
ENSG00000103160_HSDL1	432	491	560	514	358	558
ENSG00000103168_TAF1C	1150	1560	1485	1139	1017	1432
ENSG00000103174_NAGPA	208	309	246	309	137	280
ENSG00000103175_WFDC1	1	2	1	7	0	1.28
ENSG00000103184_SEC14L5	0	1	1	1	0	2
ENSG00000103187_COTL1	8004	9830	6940	6917	6920	11216
ENSG00000103194_USP10	3710	4201	3200	3656	3244	5034
ENSG00000103196_CRISPLD2	524	19	372	17	225	19
ENSG00000103197_TSC2	1181.27	1466.61	1342.07	1334.47	1097.07	1646.23
ENSG00000103199_ZNF500	212.49	376	199.64	323.02	252	441.09
ENSG00000103200_RP11-723C11.2	0	0	0	0	0	0
ENSG00000103202_NME4	784.29	1057.2	827.34	766	678.61	1191
ENSG00000103222_ABCC1	2367	2322	2244	2253	1620	2384
ENSG00000103226_NOMO3	2529.02	3180.04	2624.06	2764.8	1840.86	3332.48
ENSG00000103227_LMF1	6	3	15	2	13	2
ENSG00000103241_FOXF1	49	81	52	60	31	59
ENSG00000103245_NARFL	338	584.62	358.07	514.18	343.45	660.01
ENSG00000103248_MTHFSD	388	481	336	525	339	622
ENSG00000103249_CLCN7	1204.68	2237.6	1518	2007	1089	2206.27
ENSG00000103253_HAGHL	91	201.38	180.93	185.82	114.55	263.99
ENSG00000103254_FAM173A	29	48	53	40	21	59
ENSG00000103257_SLC7A5	17904	26015	19752	25181	22003	33130
ENSG00000103260_METRN	385	371	434	306	185	330
ENSG00000103264_FBXO31	907.74	1011.01	927.74	916.37	882.13	1219.17
ENSG00000103266_STUB1	1209.37	1681.29	1300.25	1413.45	1188.69	2090.26
ENSG00000103269_RHBDL1	10	5	34	12	3	3
ENSG00000103274_NUBP1	348.72	448.85	324.5	247.63	214.64	384.41
ENSG00000103275_UBE2I	2181.39	2523.95	2084.56	2137.94	1721.87	2949.75
ENSG00000103310_ZP2	0	0	0	0	0	0
ENSG00000103313_MEFV	90	55	86	58.96	62	29
ENSG00000103316_CRYM	0	0	0	2	0	0
ENSG00000103319_EEF2K	1169.84	997.78	996.79	727.73	700.2	960.84
ENSG00000103326_CAPN15	545	997	638	719	734	1146
ENSG00000103335_PIEZO1	3569.15	4675.39	4472.22	4441.75	3804.46	5265.74
ENSG00000103342_GSPT1	6068	6503	5338	4990	4704	7323
ENSG00000103343_ZNF174	275	357	209	275	209	330
ENSG00000103351_CLUAP1	890	1134.38	831.96	1088.92	789	1475.02
ENSG00000103353_UBFD1	2664.27	2881.08	2103.54	2439.18	1641.55	2651.95
ENSG00000103355_PRSS33	0	0	0	0	0	0
ENSG00000103356_EARS2	1228	1618	912	883	768	1500
ENSG00000103363_TCEB2	1240.86	1970.96	1419.93	1796.99	1220	2087.99
ENSG00000103365_GGA2	329.99	482.91	480	550	170	474
ENSG00000103375_AQP8	0	0	1	0	0	0
ENSG00000103381_CPPED1	254	235	241	181	209	294
ENSG00000103404_USP31	834.14	1123.18	834.5	1211.11	805.41	1315.14
ENSG00000103415_HMOX2	983	1026	740	536	526	887
ENSG00000103423_DNAJA3	3157	4373	2854	2783	2893	4480.88
ENSG00000103426_CORO7-PAM16	0	0	0	6.13	0	0
ENSG00000103429_BFAR	1932	2166	1697	1909	1534	2557
ENSG00000103449_SALL1	0	0	0	0	0	0
ENSG00000103460_TOX3	0	0	0	0	0	0
ENSG00000103472_RRN3P2	3.9	8.09	1.73	6.07	9.12	1.69
ENSG00000103479_RBL2	2285.38	2032.41	1889.45	1440.43	1491.62	2029.67
ENSG00000103485_QPRT	2	3	0	0	1.95	0
ENSG00000103489_XYLT1	421	1	510	0	340	1
ENSG00000103490_PYCARD	1	0	0	1	0	0
ENSG00000103494_RPGRIP1L	362	359	372	286	259	413
ENSG00000103495_MAZ	3670.12	4486.36	3280.62	3565.31	3049.64	5026.69
ENSG00000103496_STX4	698	843	721	759	564	886
ENSG00000103502_CDIPT	1098	1331	1098	1086	861	1234
ENSG00000103507_BCKDK	849	1065	756	603	646	1114
ENSG00000103510_KAT8	659	869	720	837	419	830
ENSG00000103512_NOMO1	6484.61	7170.26	6333.47	6667.16	4633.64	7978.86
ENSG00000103522_IL21R	44	79	15	22.92	17	24.61
ENSG00000103528_SYT17	22.03	9	13	7	1.97	12
ENSG00000103534_TMC5	4	1	1	4.06	1.42	3
ENSG00000103540_CCP110	1021	1347	787	987	736	1351
ENSG00000103544_C16orf62	626.01	398.25	560.5	515.07	564.02	543
ENSG00000103546_SLC6A2	0	0	0	0	0	0
ENSG00000103549_RNF40	2524.38	3591.29	2340.92	3166.41	2156.86	3903.99
ENSG00000103550_KNOP1	1180.9	1261.53	981.76	1013.04	899.91	1313.37
ENSG00000103569_AQP9	5	2	4	0	0	1
ENSG00000103591_AAGAB	1533	1491	1479	1432	1235	1765
ENSG00000103599_IQCH	19	31.33	27.84	27	21	38
ENSG00000103642_LACTB	512	228	396	166	349	240
ENSG00000103647_CORO2B	4	16	9	20	2	15
ENSG00000103653_CSK	1233	1620	1022	1027	1114	1663
ENSG00000103657_HERC1	1173	724	1101	933	867	827
ENSG00000103671_TRIP4	303	226	334	283	247	311
ENSG00000103707_MTFMT	339.34	282.05	277.07	180.54	199.44	296.51
ENSG00000103710_RASL12	0	0	0	0	0	0
ENSG00000103723_AP3B2	1	1	2	1	0	1
ENSG00000103740_ACSBG1	14.37	4.01	3.58	4.56	4.04	3.53
ENSG00000103742_IGDCC4	2	0	0	0	1	0
ENSG00000103769_RAB11A	1578	1360	1475	1246	1080	1422
ENSG00000103811_CTSH	30	28	39	16	14	21
ENSG00000103832_GOLGA8UP	2.01	1	1.01	1	0	1.19
ENSG00000103852_TTC23	383.81	307.9	279	213.91	242	285.97
ENSG00000103855_CD276	2271.1	1368.26	1952.56	912	1217	1183.55
ENSG00000103876_FAH	803	771	803	620	797	836
ENSG00000103888_CEMIP	81	6	60	4	78	16
ENSG00000103932_RPAP1	1381	1428	1284	1428	1337	1626
ENSG00000103942_HOMER2	467	66	476	63	431	79
ENSG00000103966_EHD4	1584	1312	1622	1034	1449	1572
ENSG00000103978_TMEM87A	1441.53	1286.82	1388.88	1437.7	1220.5	1737.88
ENSG00000103994_ZNF106	2728	2145	2240	1956	2156	2366
ENSG00000103995_CEP152	763	554	586	435	410	509
ENSG00000104043_ATP8B4	10	17	13	7	13	24
ENSG00000104044_OCA2	0	0	0	0	0	0
ENSG00000104047_DTWD1	382	262	234	171	282	309
ENSG00000104055_TGM5	1	0	3	0	0	0
ENSG00000104059_FAM189A1	0	0	0	0	0	0
ENSG00000104064_GABPB1	856.1	891.57	747.18	816.94	826.22	1020.19
ENSG00000104067_TJP1	2409	1585	2256	1789	2261	2104
ENSG00000104081_BMF	163	74	209	82	74	63
ENSG00000104093_DMXL2	547	281	534	246	310	287
ENSG00000104112_SCG3	0	0	0	0	0	0
ENSG00000104129_DNAJC17	294.97	363.27	296.13	311.56	333.94	405.53
ENSG00000104131_EIF3J	3486	3336	3266	2932	3488	4202
ENSG00000104133_SPG11	1592.01	1059	1634	1160	1518	1347
ENSG00000104140_RHOV	5	1	4	1	2	2
ENSG00000104142_VPS18	441	564	561	573	344	608
ENSG00000104147_OIP5	241.33	163.51	197.96	86.77	131.8	152.31
ENSG00000104154_SLC30A4	147	47	110	30	83	35
ENSG00000104164_BLOC1S6	1722.32	1378.85	1761.67	1506.88	1394.21	1534
ENSG00000104177_MYEF2	29.25	15.69	13.34	5.88	16.01	3
ENSG00000104205_SGK3	94	65	98.84	78.66	52	81.23
ENSG00000104213_PDGFRL	4	0	3	2.17	3.53	2
ENSG00000104218_CSPP1	549	349	575	323	477	400
ENSG00000104219_ZDHHC2	375	206	317	208	259	244
ENSG00000104221_BRF2	317.47	247.81	217.07	194.55	278.79	322.75
ENSG00000104228_TRIM35	856	818	750	627	857	1105
ENSG00000104231_ZFAND1	1541.11	1636	1169.11	1188.21	1596	1939.17
ENSG00000104237_RP1	0	0	0	0	0	0
ENSG00000104267_CA2	73	151	63	180	31	129
ENSG00000104290_FZD3	368	263	377	209	176	214
ENSG00000104299_INTS9	615	543	574	513	507	566
ENSG00000104312_RIPK2	789	421	485	295	845	584
ENSG00000104313_EYA1	58	37	33	10.73	14	31
ENSG00000104320_NBN	1770	1373	1278	799	1460	1534
ENSG00000104321_TRPA1	36.56	14.63	15.09	11.29	31.29	8.22
ENSG00000104324_CPQ	213	78	217	90	146	95
ENSG00000104325_DECR1	866	552	680	454	696	610
ENSG00000104327_CALB1	37.57	23.7	31.69	11.19	21.6	43.08
ENSG00000104331_IMPAD1	2258.88	1338.99	2516.01	1402.91	1660	1619.97
ENSG00000104332_SFRP1	0	0	0	0	0	0
ENSG00000104341_LAPTM4B	4813	3032	4040	2054	2852	3085
ENSG00000104343_UBE2W	357.27	298.34	285.57	301.32	312.71	356.27
ENSG00000104356_POP1	740	636	832	521	492	615
ENSG00000104361_NIPAL2	167	213	203	171	128	239
ENSG00000104365_IKBKB	2255	1936	2012	1802	1725	1942
ENSG00000104368_PLAT	2982.34	5048.14	2733.25	3712.32	2127.09	4952.94
ENSG00000104369_JPH1	439	207	367	186	381	319
ENSG00000104371_DKK4	0	0	0	0	0	0
ENSG00000104375_STK3	526	401.9	456.02	377.05	431	460
ENSG00000104381_GDAP1	248	139	180	98	286	195
ENSG00000104388_RAB2A	1548	1095	1756	1328	1234	1380
ENSG00000104408_EIF3E	8926.89	5851	7510	4628	5986	6102
ENSG00000104412_EMC2	544	314	610	370	433	372
ENSG00000104413_ESRP1	15	5	38	9	36	9
ENSG00000104415_WISP1	1119.18	1	1133.67	1.11	894.82	2.18
ENSG00000104419_NDRG1	1264	1644	1163	1430	802	1377
ENSG00000104427_ZC2HC1A	191	96	119	58	166	99
ENSG00000104432_IL7	47	49	20	27	19	41
ENSG00000104435_STMN2	0	0	0	0	0	0
ENSG00000104442_ARMC1	1185	963	998	796	1040	1138
ENSG00000104447_TRPS1	573	239	470	316	610	330
ENSG00000104450_SPAG1	113.19	72	100	43	89	83
ENSG00000104472_CHRAC1	543	467	556	482	468	583
ENSG00000104490_NCALD	0	0	0	0	0	0
ENSG00000104497_SNX16	175	93	111	91	134	100
ENSG00000104499_GML	0	0	0	0	0	0
ENSG00000104517_UBR5	3833.84	2588.15	3486.57	2660.68	3533.81	3002.61
ENSG00000104518_GSDMD	567	659	642	490	530	672
ENSG00000104522_TSTA3	927	1309	995	1221	864	1441
ENSG00000104524_PYCRL	230	335	251.99	256	318	473
ENSG00000104529_EEF1D	4386.84	4630.59	4943.01	3371.05	4007.61	4579.03
ENSG00000104537_ANXA13	0	0	0	1	0	0
ENSG00000104549_SQLE	2851	1770	2423	1364	1152	1776
ENSG00000104611_SH2D4A	562	481	524	448	453	488
ENSG00000104613_INTS10	1507	1414	1406	1200	1099	1555
ENSG00000104626_ERI1	697	499	651	423	570	578
ENSG00000104635_SLC39A14	6682	4295	6406	3853	5726	5047
ENSG00000104643_MTMR9	707.11	489.55	643.7	411.12	551.36	551.86
ENSG00000104660_LEPROTL1	946	659	962	758	819	829
ENSG00000104671_DCTN6	595	512	542	544	511	586
ENSG00000104679_R3HCC1	434	407	382	365	328	478
ENSG00000104687_GSR	1172	599	1038	495	655	558
ENSG00000104689_TNFRSF10A	868.22	875.45	735.66	744.14	656.12	984.74
ENSG00000104691_UBXN8	491	386	456	307	366.01	419
ENSG00000104695_PPP2CB	1796	1158	1662	1310	1409	1445
ENSG00000104714_ERICH1	271	147	314	157	239	216
ENSG00000104722_NEFM	0	0	0	0	0	0
ENSG00000104723_TUSC3	1153	924	1011	639	750	1062
